doi,number,title,keywords,abstract,year
https://doi.org/10.1016/j.cacint.2024.100159,,Determinants influencing the accessibility and use of urban green spaces: A review of empirical evidence,"Urban green space, Factors, Multisource big data, Urban green space components, Socio-ecological model","The accessibility and utilization of Urban Green Spaces (UGSs) play a crucial role in enhancing the health benefits and overall quality of life for urban residents. However, it is evident that not just a single factor, but rather a multitude of factors, influence the accessibility and use of UGSs. Consequently, this study aims to systematically review the determinants of accessibility and use of UGSs, highlighting their complex interrelations through a socio-ecological framework. By conducting a literature review across two major databases, Scopus and Web of Science (WOS), a total of 163 articles published between 1988 and January 31, 2024, were included in this study. The analysis provides an overview of the reviewed studies, focusing on aspects such as publication year, geographical distribution, research designs, classifications of UGSs, sampling techniques, sample populations, and assessment measures. Furthermore, it identifies key determinants affecting individuals’ accessibility and use of UGSs, including personal/individual, socio-cultural, physical/environmental, institutional, transport, and psychological factors. Based on these findings, a conceptual framework is proposed to better understand the dynamics of UGS accessibility and use. This framework is designed to aid planners and designers in improving and equalizing the distribution of UGSs to meet the diverse needs of the community comprehensively and serves as a foundational guide for future research.",2024
https://doi.org/10.1016/j.jobe.2024.110307,,A Systematic Review of Occupancy Pattern in Urban Building Energy Modeling: From Urban to Building-scale,"UBEM, occupancy pattern, urban data, mobility, theoretical models","The occupancy pattern, number of occupants in a certain space, and their dynamic variation with time are among the largest sources of uncertainty in the simulation results of urban building energy modeling (UBEM). The large size and complexity of cities pose ongoing and essential challenges in obtaining precise data on building occupancy. The current examination of this topic simply looks at the data source and the model, lacking of their scope of application or the influencing factors behind occupancy pattern. Based on the perspective of urban to building-scale, multi data sources and mobility models in all domains, along with potential factors that influence occupancy patterns were systematically reviewed in this study. Currently, there are two main challenges in occupancy pattern generation in UBEM: 1) difficulty in obtaining data with both accuracy and breadth, and 2) difficulty in developing occupancy pattern models through tradeoffs between model complexity, accuracy, and interpretability. Therefore, combination of multi-source data should be employed to obtain a more accurate representation of occupancy pattern within a city and future research should establish fit-for-purpose framework to find the best modeling method for UBEM. What’s more, the interpretable model considering comprehensive influencing factors should be further established. In conclusion, this study provides a series of suggestions for future advancements in obtaining accurate and interpretable occupancy patterns in UBEM.",2024
https://doi.org/10.1016/j.jenvman.2024.121366,,"Rethinking urban wilderness: Status, hotspots, and prospects of ecosystem services","Ecology, Ecological value, Sustainable urban development, Urban wilderness, Urban ecosystem, Wilderness returns","An urban wilderness (UW) portrays a coupled relationship between natural dominance and human management in urban spaces. Superior ecosystem services support sustainable urban development. Systematic assessments of the status, changes, and trends of urban wilderness ecosystem services (UWESs) are a debated and complex issue in the field of ecology despite their importance as key components for ensuring the sustainable development of human society. We aimed to analyze the scientific literature on UWESs published between 2000 and 2022. Hence, we used bibliometric methods to comprehensively understand the research lineages, hotspots, and trends in UWESs. We found that the research has roughly encompassed two phases: initial exploration (2000–2011)and rapid growth (2012–2022). The number of publications has shown a continuous growth trend; the research hotspots include UWs compared with urban greenfield ecosystems, the spatio-temporal dynamics of UWs, ecosystem services and value assessments, and the coupling and linkage between ecosystem maintenance and human health. We summarized relevant trends for the concept of harmonious coexistence between human beings and nature, focusing on spatio-temporal dynamics and multidisciplinary integration as well as reinforcing the link with human health. This study can serve as a reference for demonstrating the value of UWESs and their practical application in a UW.",2024
https://doi.org/10.1016/j.scitotenv.2024.174816,,"Urban heatwave, green spaces, and mental health: A review based on environmental health risk assessment framework","Urban heatwave, Green spaces, Mental health, Meteorological medicine, Urban planning","Utilizing the framework of environmental health risk assessment and healing, the article reviews the effectiveness and potential of green space systems in mitigating the impact of high temperatures, promoting mental health, and improving the risk characteristics of high-temperature heat waves. We utilized CiteSpace software to conduct a time-zone analysis of the relationship between heatwaves, green spaces, and health using clustered data from 2001 to 2023. This study evaluates the role of green space systems in mitigating high temperatures and enhancing mental health within the environmental health risk assessment framework. Using CiteSpace software, we analyzed literature from 2001 to 2023, focusing on the interactions among heatwaves, green spaces, and health. Our results indicate that most existing research concentrates on hazard identification, with insufficient exploration of the dose-response relationships between green spaces and temperature reduction. Quantitative studies on green space design and spatial optimization are scarce, and guidance on effective configurations remains limited. Additionally, the health impacts of heatwaves vary by region, with a noticeable imbalance in research focus; Asia and Africa, in particular, are underrepresented in studies addressing heatwave effects. We conclude that effective mitigation strategies require: (1) a comprehensive environmental health risk assessment framework that integrates advanced methods like big data analysis and geospatial simulations to improve green space planning and design; (2) further theoretical exploration into the mechanisms by which green spaces regulate temperature and mental health, including detailed analysis of spatiotemporal patterns and the functional optimization of green space structures; and (3) the development of robust parameterized design guidance based on specific therapeutic dosages (green space stimulus) to optimize configurations and enhance the effectiveness of green spaces in mitigating adverse mental health impacts from deteriorating thermal environments. Future research should prioritize underrepresented regions, focusing on exposure levels, dose-response relationships, and high-temperature warning systems while fostering multidisciplinary collaboration to develop effective urban planning and climate adaptation strategies.",2024
https://doi.org/10.1016/j.heliyon.2021.e06322,3,Natural language processing for urban research: A systematic review,"Natural language processing, Urban research, Urban big data, Text mining","Natural language processing (NLP) has shown potential as a promising tool to exploit under-utilized urban data sources. This paper presents a systematic review of urban studies published in peer-reviewed journals and conference proceedings that adopted NLP. The review suggests that the application of NLP in studying cities is still in its infancy. Current applications fell into five areas: urban governance and management, public health, land use and functional zones, mobility, and urban design. NLP demonstrates the advantages of improving the usability of urban big data sources, expanding study scales, and reducing research costs. On the other hand, to take advantage of NLP, urban researchers face challenges of raising good research questions, overcoming data incompleteness, inaccessibility, and non-representativeness, immature NLP techniques, and computational skill requirements. This review is among the first efforts intended to provide an overview of existing applications and challenges for advancing urban research through the adoption of NLP.",2021
https://doi.org/10.1016/j.jtte.2023.05.003,5,An overview of Hadoop applications in transportation big data,"Information technology, Transportation big data, Hadoop, Intelligent transportation, Cloud computing","As an open-source cloud computing platform, Hadoop is extensively employed in a variety of sectors because of its high dependability, high scalability, and considerable benefits in processing and analyzing massive amounts of data. Consequently, to derive valuable insights from transportation big data, it is essential to leverage the Hadoop big data platform for analysis and mining. To summarize the latest research progress on the application of Hadoop to transportation big data, we conducted a comprehensive review of 98 relevant articles published from 2012 to the present. Firstly, a bibliometric analysis was performed using VOSviewer software to identify the evolution trend of keywords. Secondly, we introduced the core components of Hadoop. Subsequently, we systematically reviewed the 98 articles, identified the latest research progress, and classified the main application scenarios of Hadoop and its optimization framework. Based on our analysis, we identified the research gaps and future work in this area. Our review of the available research highlights that Hadoop has played a significant role in transportation big data research over the past decade. Specifically, the focus has been on transportation infrastructure monitoring, taxi operation management, travel feature analysis, traffic flow prediction, transportation big data analysis platform, traffic event monitoring and status discrimination, license plate recognition, and the shortest path. Additionally, the optimization framework of Hadoop has been studied in two main areas: the optimization of the computational model of Hadoop and the optimization of Hadoop combined with Spark. Several research results have been achieved in the field of transportation big data. However, there is less systematic research on the core technology of Hadoop, and the breadth and depth of the integration development of Hadoop and transportation big data are not sufficient. In the future, it is suggested that Hadoop may be combined with other big data frameworks such as Storm and Flink that process real-time data sources to improve the real-time processing and analysis of transportation big data. Simultaneously, the research on multi-source heterogeneous transportation big data is still a key focus. Improving existing big data technology to enable the analysis and even data compression of transportation big data can lead to new breakthroughs for intelligent transportation.",2023
https://doi.org/10.1016/j.adapen.2023.100155,,Designing climate resilient energy systems in complex urban areas considering urban morphology: A technical review,"Urban energy infrastructure, Urban morphology, Extreme microclimates, Climate change, Resilient energy systems, Interconnectivity","The urban energy infrastructure is facing a rising number of challenges due to climate change and rapid urbanization. In particular, the link between urban morphology and energy systems has become increasingly crucial as cities continue to expand and become more densely populated. Achieving climate neutrality adds another layer of complexity, highlighting the need to address this relationship to develop effective strategies for sustainable urban energy infrastructure. The occurrence of extreme climate events can also trigger cascading failures in the system components, leading to long-lasting blackouts. This review paper thoroughly explores the challenges of incorporating urban morphology into energy system models through a comprehensive literature review and proposes a new framework to enhance the resilience of interconnected systems. The review emphasizes the need for integrated models to provide deeper insights into urban energy systems design and operation and addresses the cascading failures, interconnectivity, and compound impacts of climate change and urbanization on energy systems. It also explores emerging challenges and opportunities, including the requirement for high-quality data, utilization of big data, and integration of advanced technologies like artificial intelligence and machine learning in urban energy systems. The proposed framework integrates urban morphology classification, mesoscale and microscale climate data, and a design and operation process to consider the influence of urban morphology, climate variability, and extreme events. Given the prevalence of extreme climate events and the need for climate-resilient strategies, the study underscores the significance of improving energy system models to accommodate future climate variations while recognizing the interconnectivity within urban infrastructure.",2023
https://doi.org/10.1016/j.jclepro.2020.123142,,A systematic review of big data-based urban sustainability research: State-of-the-science and future directions,"Big data, Social media data, Urban landscape sustainability, Smart city, Urban planning","The future of humanity depends increasingly on the performance of cities. Big data provide new and powerful ways of studying and improving coupled urban environmental, social, and economic systems to achieve urban sustainability. However, the term big data has been defined variably, and its urban applications have so far been sporadic in terms of research topic and location. A comprehensive review of big data-based urban environment, society, and sustainability (UESS) research is much needed. The aim of this study was to summarize the big data-based UESS research using a systematic review approach in combination with bibliometric and thematic analyses. The results showed that the numbers of publications and citations of related articles have been increasing exponentially in recent years. The most frequently used big data in UESS research are human behavior data, and the major analytical methods are of five types: classification, clustering, regression, association rules, and social network analysis. The major research topics of big data-based UESS research include urban mobility, urban land use and planning, environmental sustainability, public health and safety, social equity, tourism, resources and energy utilization, real estate, and retail, accommodation and catering. Big data benefit UESS research by proving a people-oriented perspective, timely and real-time information, and fine-resolution spatial dynamics. In addition, several obstacles were identified to applying big data in UESS research, which are related to data quality and acquisition, data storage and management, data security and privacy, data cleaning and preprocessing, and data analysis and information mining. To move forward, future research should integrate multiple big data sources, develop and utilize new methods such as deep learning and cloud computing, and expand the application fields to focus on the interactions between human activities and urban environments. This review can contribute to understanding the current situation of big data-based UESS research, and provide a reference for studies of this topic in the future.",2020
https://doi.org/10.1016/j.jag.2021.102514,,Integrating remote sensing and geospatial big data for urban land use mapping: A review,"Integration methods, Urban functional zone classification, Urban management, Land use","Remote Sensing (RS) has been used in urban mapping for a long time; however, the complexity and diversity of urban functional patterns are difficult to be captured by RS only. Emerging Geospatial Big Data (GBD) are considered as the supplement to RS data, and help to contribute to our understanding of urban lands from physical aspects (i.e., urban land cover) to socioeconomic aspects (i.e., urban land use). Integrating RS and GBD could be an effective way to combine physical and socioeconomic aspects with great potential for high-quality urban land use classification. In this study, we reviewed the existing literature and focused on the state-of-the-art and perspective of the urban land use categorization by integrating RS and GBD. Specifically, the commonly used RS features (e.g., spectral, textural, temporal, and spatial features) and GBD features (e.g., spatial, temporal, semantic, and sequence features) were identified and analyzed in urban land use classification. The integration strategies for RS and GBD features were categorized into feature-level integration (FI) and decision-level integration (DI). To be more specific, the FI method integrates the RS and GBD features and classifies urban land use types using the integrated feature sets; the DI method processes RS and GBD independently and then merges the classification results based on decision rules. We also discussed other critical issues, including analysis unit setting, parcel segmentation, parcel labeling of land use types, and data integration. Our findings provide a retrospect of different features from RS and GBD, strategies of RS and GBD integration, and their pros and cons, which could help to define the framework for future urban land use mapping and better support urban planning, urban environment assessment, urban disaster monitoring and urban traffic analysis.",2021
https://doi.org/10.1016/j.envres.2024.119324,,"Exploring the nexus of urban form, transport, environment and health in large-scale urban studies: A state-of-the-art scoping review",,"Background
As the world becomes increasingly urbanised, there is recognition that public and planetary health relies upon a ubiquitous transition to sustainable cities. Disentanglement of the complex pathways of urban design, environmental exposures, and health, and the magnitude of these associations, remains a challenge. A state-of-the-art account of large-scale urban health studies is required to shape future research priorities and equity- and evidence-informed policies.
Objectives
The purpose of this review was to synthesise evidence from large-scale urban studies focused on the interaction between urban form, transport, environmental exposures, and health. This review sought to determine common methodologies applied, limitations, and future opportunities for improved research practice.
Methods
Based on a literature search, 2958 articles were reviewed that covered three themes of: urban form; urban environmental health; and urban indicators. Studies were prioritised for inclusion that analysed at least 90 cities to ensure broad geographic representation and generalisability. Of the initially identified studies, following expert consultation and exclusion criteria, 66 were included.
Results
The complexity of the urban ecosystem on health was evidenced from the context dependent effects of urban form variables on environmental exposures and health. Compact city designs were generally advantageous for reducing harmful environmental exposure and promoting health, with some exceptions. Methodological heterogeneity was indicative of key urban research challenges; notable limitations included exposure and health data at varied spatial scales and resolutions, limited availability of local-level sociodemographic data, and the lack of consensus on robust methodologies that encompass best research practice.
Conclusion
Future urban environmental health research for evidence-informed urban planning and policies requires a multi-faceted approach. Advances in geospatial and AI-driven techniques and urban indicators offer promising developments; however, there remains a wider call for increased data availability at local-levels, transparent and robust methodologies of large-scale urban studies, and greater exploration of urban health vulnerabilities and inequities.",2024
https://doi.org/10.1016/j.uclim.2024.102035,,Understanding urban heat vulnerability: Scientometric analysis of five decades of research,"Urban heat vulnerability, Urban heat island, Urban sustainability, Urban planning, Climate change, Climate resilience","Urban Heat Vulnerability (UHV) has received increasing attention over the last two decades due to the exacerbation of global warming and the Urban Heat Island (UHI) effect, amid rapid urbanisation and climate change. While there has been a notable growth in UHV research, systematic reviews and meta-analyses focusing on a broader range of issues and research trajectories are notably absent. This study aims to provide a comprehensive understanding of the historical progression, current research clusters, and emerging trends in UHV research by utilising a scientometric method. It examines 2340 UHV-related scholarly articles published over the past fifty years (1970s to 2020s). The major findings of this scientometric analysis are: (a) UHV is an emerging research area and is expected to rapidly expand; (b) UHV research is clustered around five interconnected key areas: Urban planning and architectural design; Urban environment and ecology; Urban public health and wellbeing; Urban climate and meteorology; Urban remote sensing; (c) The recent shift in research focus towards public health and wellbeing perspectives in UHV studies highlights the importance of a human-social focus and interdisciplinary collaboration; (d) Remote sensing, particularly supported by machine learning, is a significant technical tool in UHV research; (e) UHV research aligns with the UN sustainable development goals and contributes to achieving urban sustainability and climate resilience. Further advancements in UHV research will require interdisciplinary collaboration, technological innovations, and targeted policies to effectively address urban heat impacts and protect vulnerable populations.",2024
https://doi.org/10.1016/j.compenvurbsys.2024.102087,,From intangible to tangible: The role of big data and machine learning in walkability studies,"Pedestrian perception, Pedestrian behaviour, Built environment variable, Urban study, Artificial intelligence, Review","Walkability reflects the well-being of a city, and its measurement is evolving rapidly due to advancements of big data and machine learning technologies. The study examines the transformative impact of these technological interventions on the evaluation of walkability trends over the period 2015 to 2022. We create a framework consisting of big data sources, machine learning methods, and research purposes, revealing research trajectories and associated challenges. Despite diverse data usage, image data dominates in walkability research. While street view and point of interest data were primarily used to depict the environment, social media and handheld/ wearable data were more commonly employed to represent user behaviours or perceptions. Leveraging machine learning in conjunction with big data assists researchers in three aspects of walkability studies. First, researchers utilise classification and clustering to predict street quality, walkability, and identify neighbourhoods with certain characteristics. Second, researchers unveil relationship between the built environment and pedestrian perceptions or behaviours through regression analysis. Third, researchers employ generative models to create streetscapes or urban structures, although their utilisation is limited. Meanwhile, challenges persist in data access, customisation of machine learning models for urban studies, and establishing standard criteria to guarantee data quality and model accuracy.",2024
https://doi.org/10.1016/j.jag.2023.103412,,A Bi-LSTM approach for modelling movement uncertainty of crowdsourced human trajectories under complex urban environments,"Movement uncertainty, Crowdsourced human trajectories, Pedestrian motion detection, GNSS","Modelling the movement uncertainty of crowdsourced human trajectories in complex urban areas is useful for various human mobility analytics and applications. However, the existing human movement uncertainty modelling approaches only consider the largest movement distance or speed, and fixed sampling and measurement errors, resulting in limited accuracy in uncertainty prediction. To fill this gap, this paper presents a Bi-directional Long Short-Term Memory (Bi-LSTM) assisted framework for modelling the uncertainty of crowdsourced human trajectories under complex urban environments. The proposed movement uncertainty modelling framework adaptively integrates the pedestrian motion detection characteristics, including the real-time gait-length and heading deviation features under detected step period. The characteristics are further combined with the Global Navigation Satellite System (GNSS) originated location, speed and virtual heading information and constructed as the input features for the uncertainty prediction model. Comparison with the existing uncertainty modelling methods is conducted using the real-world datasets, and the results demonstrate the presented Bi-LSTM assisted framework’s robust outperformance in achieving more adaptive and accurate movement uncertainty prediction, as measured by multiple metrics. This study provides an accurate and practical solution for modelling the movement uncertainty of human trajectories under complex urban areas, and can support reliable analytics for crowdsourced urban big data.",2023
